sr_no,age_group,gender,residential_area,education_level,employment_status,monthly_income,current_brand,model_name,current_price_range,usage_duration,purchase_source,top_3_reasons,most_used_feature,upgrade_frequency,purchase_preference,resale_consideration,satisfaction,next_brand_preference,next_priority,next_budget,foldable_interest,indian_brand_preference
179,Below 18,Female,Rural,10th - 12th,Student,"10,000 - 25,000",Samsung,samsung,"Below 10,000",Less than 6 months,Local Retail Store,Price & affordability,Communication,Only when my phone stops working,Whichever gives the best deal,Yes,Yes,Apple,Brand reputation,"20,000 - 40,000",Maybe,Yes
180,Below 18,Female,Urban,10th - 12th,Student,"10,000 - 25,000",Vivo,t2x,"10,000 - 20,000",6 months - 1 year,Brand Outlet/Showroom,"Camera quality, 5G support, Software & UI Experience",Web browsing,Every 3+ years,Brand Showroom,Yes,Yes,Samsung,Brand reputation,"Above 70,000",Maybe,No
181,Below 18,Female,Urban,10th - 12th,Student,"50,000 - 1,00,000",Oppo,oppoa55,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Price & affordability",Other,Only when my phone stops working,Whichever gives the best deal,No,No,Realme,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,Yes
182,18 - 25,Female,Urban,10th - 12th,Student,"Below 10,000",Other,redmi 8,"Below 10,000",1 - 3 years,Local Retail Store,"Camera quality, Storage & RAM, 5G support",Other,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Vivo,Budget/ Price,"10,000 - 20,000",No,Yes
183,18 - 25,Male,Urban,Graduation,Student,"10,000 - 25,000",Xiaomi,note 12,"10,000 - 20,000",6 months - 1 year,Brand Outlet/Showroom,"Camera quality, Battery life, Processor performance, Display quality, 5G support",Office works,Only when my phone stops working,Whichever gives the best deal,No,Yes,Nothing,Performance & Speed,"10,000 - 20,000",No,No
184,18 - 25,Male,Rural,Graduation,Student,"Below 10,000",Oppo,oppo,"Below 10,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Display quality",Gaming,Every 2 years,Online,No,Yes,Samsung,Budget/ Price,"10,000 - 20,000",No,No
185,26 - 35,Female,Rural,Post-graduation & Above,Employed,"Below 10,000",Realme,,"Below 10,000",1 - 3 years,Online,"Camera quality, Battery life, Storage & RAM",Social media,Only when my phone stops working,Online,No,Yes,OnePlus,Brand reputation,"20,000 - 40,000",Maybe,Yes
186,26 - 35,Female,Urban,Post-graduation & Above,Employed,"25,000 - 50,000",Xiaomi,redmi 10 prime,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Display quality, Brand reputation",Web browsing,Every 3+ years,Offline (Retail Store),No,Yes,Apple,"Features (camera, battery, performance, etc)","40,000 - 70,000",No,Yes
187,18 - 25,Male,Rural,Graduation,Employed,"10,000 - 25,000",Motorola,g 85,"10,000 - 20,000",Less than 6 months,Local Retail Store,"Display quality, Price & affordability, 5G support",Social media,Only when my phone stops working,Offline (Retail Store),No,Yes,Samsung,Brand reputation,"20,000 - 40,000",Yes,Yes
188,18 - 25,Male,Urban,Graduation,Student,"Below 10,000",Realme,realme 12 5g,"10,000 - 20,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation, 5G support, Software & UI Experience, After-Sales Service",Other,Every year,Brand Showroom,No,Yes,Apple,,,,
189,26 - 35,Male,Rural,Graduation,Self-Employed,"50,000 - 1,00,000",Google,pixel 6a,"40,000 - 70,000",1 - 3 years,Online,"Processor performance, Brand reputation, Software & UI Experience",Office works,Every 2 years,Online,No,Yes,Google,Performance & Speed,"Above 70,000",Yes,Yes
190,18 - 25,Female,Rural,Graduation,Student,"50,000 - 1,00,000",Xiaomi,redmi8a,"10,000 - 20,000",More than 3 years,Online,"Camera quality, Battery life, Storage & RAM",Communication,Only when my phone stops working,Online,Yes,Yes,Apple,5G support,"Below 10,000",Yes,No
191,18 - 25,Female,Urban,Graduation,Student,"Below 10,000",Other,tecno,"Below 10,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Storage & RAM",Communication,Only when my phone stops working,Offline (Retail Store),No,Yes,Apple,5G support,"Below 10,000",Yes,No
192,18 - 25,Male,Rural,Graduation,Student,"10,000 - 25,000",Xiaomi,redmi 9,"Below 10,000",More than 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Display quality, Storage & RAM",Camera,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Samsung,Software updates & longevity,"20,000 - 40,000",No,Yes
193,18 - 25,Female,Urban,Graduation,Student,"10,000 - 25,000",Other,poco c 61,"Below 10,000",Less than 6 months,Online,Storage & RAM,Other,Only when my phone stops working,Online,Yes,Yes,OnePlus,"Features (camera, battery, performance, etc)","10,000 - 20,000",Yes,No
194,18 - 25,Female,Rural,Graduation,Student,"Below 10,000",Xiaomi,redmi 9,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance",Other,Only when my phone stops working,Brand Showroom,No,Yes,Unknown,5G support,"40,000 - 70,000",No,Yes
195,18 - 25,Male,Rural,Graduation,Student,"10,000 - 25,000",Xiaomi,redmi9activ,"Below 10,000",6 months - 1 year,Local Retail Store,"Processor performance, Storage & RAM, Price & affordability",Social media,Only when my phone stops working,Offline (Retail Store),No,Yes,Apple,Brand reputation,"40,000 - 70,000",Maybe,Yes
196,36 - 50,Male,Rural,Graduation,Self-Employed,"Below 10,000",Samsung,samsung m21,"10,000 - 20,000",More than 3 years,Online,Price & affordability,Social media,Only when my phone stops working,Online,No,Yes,Samsung,Budget/ Price,"10,000 - 20,000",No,Yes
197,18 - 25,Male,Rural,Graduation,Student,"25,000 - 50,000",OnePlus,realme 8,"40,000 - 70,000",6 months - 1 year,Online,"Battery life, Display quality, 5G support",Camera,Only when my phone stops working,Online,No,Yes,OnePlus,5G support,"40,000 - 70,000",Yes,Yes
198,18 - 25,Male,Rural,Graduation,Employed,"25,000 - 50,000",IQOO,neo 6 5g,"20,000 - 40,000",More than 3 years,Local Retail Store,"Processor performance, Storage & RAM, 5G support",Gaming,Every 3+ years,Whichever gives the best deal,No,Yes,Google,Performance & Speed,"40,000 - 70,000",No,No
199,36 - 50,Male,Rural,Graduation,Self-Employed,"25,000 - 50,000",Samsung,samsung,"Below 10,000",Less than 6 months,Local Retail Store,Price & affordability,Communication,Only when my phone stops working,Offline (Retail Store),No,Yes,Samsung,Budget/ Price,"10,000 - 20,000",Yes,Yes
200,18 - 25,Female,Urban,Graduation,Student,"25,000 - 50,000",Xiaomi,redmi note 8,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Storage & RAM, Price & affordability",Other,Only when my phone stops working,Offline (Retail Store),No,Yes,Vivo,"Features (camera, battery, performance, etc)","10,000 - 20,000",Maybe,Yes
201,26 - 35,Male,Urban,Graduation,Employed,"10,000 - 25,000",Motorola,g53,"20,000 - 40,000",6 months - 1 year,Online,"Camera quality, Battery life, Processor performance",Communication,Every year,Online,Yes,No,Apple,Budget/ Price,"40,000 - 70,000",No,Yes
202,18 - 25,Male,Rural,10th - 12th,Student,"Below 10,000",Vivo,vivo y12,"Below 10,000",6 months - 1 year,Second hand,"Battery life, Price & affordability, After-Sales Service",Social media,Only when my phone stops working,Offline (Retail Store),No,Yes,Realme,Budget/ Price,"Below 10,000",Maybe,Yes
203,18 - 25,Male,Rural,10th - 12th,Student,"Below 10,000",Oppo,oppo a31,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Processor performance, Storage & RAM, Price & affordability",Social media,Only when my phone stops working,Brand Showroom,No,Yes,Apple,"Features (camera, battery, performance, etc)","Above 70,000",Yes,Yes
204,Below 18,Male,Rural,Post-graduation & Above,Student,"Below 10,000",Realme,realme 8,"10,000 - 20,000",Less than 6 months,Local Retail Store,"Processor performance, Storage & RAM, Price & affordability",Social media,Only when my phone stops working,Offline (Retail Store),No,Yes,Unknown,Budget/ Price,,Maybe,Yes
205,18 - 25,Male,Urban,Graduation,Employed,"50,000 - 1,00,000",Apple,14 pro max,"Above 70,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation, 5G support, Software & UI Experience",Camera,Every 3+ years,Brand Showroom,Yes,Yes,Samsung,"Features (camera, battery, performance, etc)","Above 70,000",No,No
206,18 - 25,Male,Urban,Post-graduation & Above,Self-Employed,"50,000 - 1,00,000",Apple,iphonee 16pro,"Above 70,000",Less than 6 months,Brand Outlet/Showroom,Brand reputation,Social media,Every year,Offline (Retail Store),No,Yes,Apple,Brand reputation,"Above 70,000",Yes,No
207,18 - 25,Male,Rural,10th - 12th,Student,"25,000 - 50,000",Oppo,oppo reno 10,"20,000 - 40,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Display quality, Storage & RAM, 5G support, Software & UI Experience, After-Sales Service",Other,Only when my phone stops working,Brand Showroom,No,Yes,Samsung,Performance & Speed,,No,No
208,18 - 25,Female,Urban,Graduation,Student,"10,000 - 25,000",Realme,realme,"10,000 - 20,000",6 months - 1 year,Local Retail Store,"Camera quality, Battery life, Processor performance, Display quality",Social media,Every 3+ years,Offline (Retail Store),Yes,Yes,Realme,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,Yes
209,18 - 25,Male,Rural,Graduation,Student,"25,000 - 50,000",Realme,narzo n55,"10,000 - 20,000",6 months - 1 year,Online,"Battery life, Storage & RAM, Price & affordability",Communication,Only when my phone stops working,Online,No,Yes,Apple,"Features (camera, battery, performance, etc)","Above 70,000",No,No
210,18 - 25,Male,Rural,Post-graduation & Above,Student,"Below 10,000",Other,tecno spark seven,"Below 10,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life",Social media,Only when my phone stops working,Offline (Retail Store),No,No,Samsung,Performance & Speed,"Above 70,000",Maybe,No
211,18 - 25,Female,Rural,Graduation,Employed,"25,000 - 50,000",Realme,realme,"10,000 - 20,000",1 - 3 years,Brand Outlet/Showroom,Camera quality,Communication,Every 3+ years,Offline (Retail Store),Yes,Yes,Apple,Budget/ Price,"10,000 - 20,000",Yes,Yes
212,18 - 25,Male,Rural,Below 10th,Student,"Below 10,000",Realme,realme 8pro,"Below 10,000",6 months - 1 year,Local Retail Store,Processor performance,Gaming,Every year,Offline (Retail Store),Yes,Yes,Apple,Budget/ Price,"Above 70,000",No,Yes
213,36 - 50,Male,Urban,10th - 12th,Employed,"Above 1,00,000",Apple,iphonee 15 pro,"Above 70,000",Less than 6 months,Online,Camera quality,Camera,Every year,Online,Yes,Yes,Apple,Performance & Speed,"Above 70,000",Maybe,Yes
214,18 - 25,Female,Rural,Graduation,Student,"25,000 - 50,000",Vivo,vivo y20g,"10,000 - 20,000",More than 3 years,Local Retail Store,"Battery life, Storage & RAM, Price & affordability",Web browsing,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Google,Budget/ Price,"10,000 - 20,000",Maybe,Yes
215,18 - 25,Male,Rural,10th - 12th,Student,"25,000 - 50,000",Xiaomi,redmi note 9 pro max,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation",Social media,Only when my phone stops working,Brand Showroom,No,Yes,Redmi,Performance & Speed,"10,000 - 20,000",Maybe,No
216,26 - 35,Male,Rural,Graduation,Employed,"25,000 - 50,000",Other,x4 pro 5g,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Processor performance, Storage & RAM, 5G support",Office works,Only when my phone stops working,Offline (Retail Store),No,No,Samsung,,,,
217,18 - 25,Male,Urban,Graduation,Student,"Below 10,000",Nokia,nokia c32,"Below 10,000",6 months - 1 year,Brand Outlet/Showroom,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation, Software & UI Experience",Web browsing,Only when my phone stops working,Offline (Retail Store),No,Yes,Unknown,"Features (camera, battery, performance, etc)","Below 10,000",No,No
218,18 - 25,Male,Urban,Graduation,Student,"Below 10,000",Vivo,y21 t,"Below 10,000",6 months - 1 year,Second hand,"Processor performance, Storage & RAM, Price & affordability",Web browsing,Only when my phone stops working,Whichever gives the best deal,No,Yes,Samsung,Performance & Speed,"10,000 - 20,000",No,No
219,36 - 50,Male,Urban,10th - 12th,Employed,"10,000 - 25,000",Realme,i9,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Display quality",Social media,Every 2 years,Offline (Retail Store),No,Yes,OnePlus,"Features (camera, battery, performance, etc)","10,000 - 20,000",No,Yes
220,18 - 25,Male,Urban,10th - 12th,Student,"25,000 - 50,000",Samsung,j7,"Below 10,000",More than 3 years,Second hand,"Processor performance, Storage & RAM, Price & affordability",Communication,Only when my phone stops working,Offline (Retail Store),No,Yes,Samsung,Budget/ Price,"10,000 - 20,000",No,No
221,18 - 25,Male,Rural,Graduation,Student,"10,000 - 25,000",Oppo,oppo f25 pro,"20,000 - 40,000",6 months - 1 year,Local Retail Store,"Camera quality, Battery life, 5G support",Gaming,Every year,Offline (Retail Store),No,Yes,Apple,"Features (camera, battery, performance, etc)","40,000 - 70,000",Maybe,Yes
222,26 - 35,Male,Rural,Graduation,Self-Employed,"50,000 - 1,00,000",Samsung,galaxy s 248,"40,000 - 70,000",Less than 6 months,Local Retail Store,"Camera quality, Display quality, Brand reputation, 5G support, Software & UI Experience",Camera,Every 2 years,Whichever gives the best deal,No,Yes,Samsung,Brand reputation,"Above 70,000",Yes,Yes
223,18 - 25,Female,Urban,10th - 12th,Student,"10,000 - 25,000",Oppo,,"Below 10,000",More than 3 years,Second hand,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation, 5G support, Software & UI Experience, After-Sales Service",Other,Every 3+ years,Brand Showroom,Yes,Yes,Oppo,Performance & Speed,"Below 10,000",No,Yes
224,26 - 35,Female,Rural,Graduation,Self-Employed,"25,000 - 50,000",Samsung,samsung galaxy m42,"10,000 - 20,000",1 - 3 years,Brand Outlet/Showroom,"Battery life, Price & affordability, 5G support",Camera,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Redmi,Budget/ Price,"20,000 - 40,000",Yes,Yes
225,26 - 35,Male,Rural,Post-graduation & Above,Employed,"25,000 - 50,000",Motorola,moto,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Battery life, 5G support, Software & UI Experience",Office works,Every 3+ years,Offline (Retail Store),Yes,Yes,Samsung,5G support,"20,000 - 40,000",Maybe,No
226,26 - 35,Male,Rural,Post-graduation & Above,Employed,"25,000 - 50,000",Xiaomi,redmi 10 prime,"10,000 - 20,000",1 - 3 years,Brand Outlet/Showroom,"Battery life, Display quality, Storage & RAM, Brand reputation",Office works,Every 3+ years,Offline (Retail Store),No,Yes,Vivo,5G support,"20,000 - 40,000",Yes,No
227,18 - 25,Male,Rural,Graduation,Student,"10,000 - 25,000",Apple,iphonee 16 pro,"Above 70,000",Less than 6 months,Online,"Camera quality, Processor performance, Storage & RAM, Brand reputation, 5G support, After-Sales Service",Social media,Every year,Online,Yes,Yes,Apple,Performance & Speed,"Above 70,000",Maybe,Yes
228,18 - 25,Female,Rural,Graduation,Student,"10,000 - 25,000",Xiaomi,redmi note 9,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Battery life, Display quality, Software & UI Experience",Communication,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Vivo,Budget/ Price,"10,000 - 20,000",Yes,Yes
229,36 - 50,Male,Rural,Post-graduation & Above,Employed,"Above 1,00,000",OnePlus,onepluse nord 10,"Above 70,000",Less than 6 months,Brand Outlet/Showroom,"Camera quality, Display quality",Web browsing,Every year,Brand Showroom,Yes,Yes,Apple,Performance & Speed,"Above 70,000",Maybe,No
230,50+,Female,Urban,Post-graduation & Above,Employed,"50,000 - 1,00,000",Apple,iphonee 16 pro max,"Above 70,000",6 months - 1 year,Brand Outlet/Showroom,"Camera quality, Processor performance, Display quality, Brand reputation",Camera,Every year,Brand Showroom,No,Yes,Apple,,"40,000 - 70,000",Maybe,No
231,18 - 25,Female,Urban,Graduation,Student,"50,000 - 1,00,000",Xiaomi,redmi 12c,"10,000 - 20,000",6 months - 1 year,Online,"Camera quality, Processor performance, Software & UI Experience",Other,Only when my phone stops working,Online,No,Yes,Samsung,Software updates & longevity,"40,000 - 70,000",Maybe,Yes
232,26 - 35,Male,Urban,Graduation,Employed,"10,000 - 25,000",Xiaomi,y3,"Below 10,000",More than 3 years,Online,"Camera quality, Battery life, Price & affordability",Communication,Only when my phone stops working,Online,No,Yes,Apple,"Features (camera, battery, performance, etc)","10,000 - 20,000",No,Yes
233,18 - 25,Female,Urban,10th - 12th,Student,"25,000 - 50,000",Oppo,oppo f15,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Storage & RAM, Price & affordability",Social media,Every 3+ years,Online,Yes,Yes,Apple,"Features (camera, battery, performance, etc)","20,000 - 40,000",No,No
234,18 - 25,Male,Rural,Graduation,Student,"25,000 - 50,000",Realme,realme 10,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation, 5G support, Software & UI Experience, After-Sales Service",Web browsing,Every year,Offline (Retail Store),Yes,Yes,Unknown,Budget/ Price,"20,000 - 40,000",Yes,Yes
235,18 - 25,Male,Rural,Graduation,Employed,"10,000 - 25,000",Xiaomi,redmi note 9 pro max,"10,000 - 20,000",More than 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Storage & RAM",Social media,Only when my phone stops working,Brand Showroom,Yes,Yes,Samsung,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,Yes
236,18 - 25,Female,Rural,Post-graduation & Above,Student,"25,000 - 50,000",Realme,realme 7i,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance",Social media,Only when my phone stops working,Whichever gives the best deal,Yes,Yes,Vivo,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,Yes
237,26 - 35,Male,Rural,Graduation,Employed,"10,000 - 25,000",OnePlus,nord 4,"20,000 - 40,000",Less than 6 months,Brand Outlet/Showroom,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, 5G support, Software & UI Experience",Gaming,Only when my phone stops working,Online,No,Yes,Samsung,Budget/ Price,"20,000 - 40,000",No,No
238,Below 18,Female,Rural,10th - 12th,Student,"50,000 - 1,00,000",Xiaomi,redmi 6,"Below 10,000",More than 3 years,Brand Outlet/Showroom,"Processor performance, Price & affordability, Software & UI Experience",Social media,Every 3+ years,Brand Showroom,Yes,Yes,Vivo,5G support,"10,000 - 20,000",Maybe,No
239,18 - 25,Female,Urban,Post-graduation & Above,Self-Employed,"10,000 - 25,000",OnePlus,one plus 2t5g,"20,000 - 40,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Storage & RAM, 5G support",Office works,Every 2 years,Brand Showroom,No,Yes,Samsung,Budget/ Price,"20,000 - 40,000",Yes,Yes
240,18 - 25,Male,Rural,Graduation,Student,"10,000 - 25,000",Oppo,oppo k12x 5g,"10,000 - 20,000",Less than 6 months,Local Retail Store,"Battery life, Storage & RAM, 5G support",Communication,Every 3+ years,Offline (Retail Store),Yes,Yes,Apple,5G support,"20,000 - 40,000",Maybe,No
241,18 - 25,Female,Rural,Graduation,Self-Employed,"10,000 - 25,000",Xiaomi,redmi note 6,"10,000 - 20,000",More than 3 years,Brand Outlet/Showroom,"Battery life, Display quality, 5G support",Social media,Every 3+ years,Offline (Retail Store),Yes,Yes,Apple,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,No
242,18 - 25,Female,Rural,Graduation,Employed,"25,000 - 50,000",Oppo,oppo a15s,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Storage & RAM",Communication,Every 3+ years,Offline (Retail Store),No,Yes,Vivo,"Features (camera, battery, performance, etc)","10,000 - 20,000",Yes,No
243,36 - 50,Male,Rural,Below 10th,Self-Employed,"10,000 - 25,000",Xiaomi,redmi,"10,000 - 20,000",More than 3 years,Local Retail Store,"Display quality, Storage & RAM, 5G support",Communication,Every 3+ years,Offline (Retail Store),No,No,Oppo,5G support,"20,000 - 40,000",Maybe,Yes
244,36 - 50,Male,Rural,Below 10th,Self-Employed,"10,000 - 25,000",Realme,realme c31,"20,000 - 40,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, 5G support",Social media,Every 3+ years,Offline (Retail Store),Yes,No,Apple,"Features (camera, battery, performance, etc)","20,000 - 40,000",Maybe,No
245,36 - 50,Male,Rural,10th - 12th,Self-Employed,"10,000 - 25,000",Vivo,vivo y20,"20,000 - 40,000",1 - 3 years,Local Retail Store,"Battery life, Display quality, Storage & RAM",Communication,Every 3+ years,Offline (Retail Store),No,No,Oppo,5G support,"20,000 - 40,000",Maybe,No
246,18 - 25,Male,Rural,Graduation,Employed,"10,000 - 25,000",Realme,realme c31,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Processor performance, Storage & RAM",Communication,Every 3+ years,Offline (Retail Store),Yes,No,Vivo,Brand reputation,"10,000 - 20,000",Maybe,No
247,18 - 25,Male,Rural,Graduation,Self-Employed,"10,000 - 25,000",Other,poco c61,"Below 10,000",Less than 6 months,Local Retail Store,"Camera quality, Storage & RAM, 5G support",Social media,Every 3+ years,Offline (Retail Store),Yes,Yes,Vivo,5G support,"10,000 - 20,000",Maybe,No
248,18 - 25,Female,Rural,Graduation,Self-Employed,"10,000 - 25,000",Samsung,samsung galaxy,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance",Communication,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Oppo,5G support,"Below 10,000",Maybe,No
249,50+,Male,Rural,Below 10th,Self-Employed,"25,000 - 50,000",Realme,realme,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Processor performance, Display quality",Communication,Every 3+ years,Offline (Retail Store),Yes,Yes,Poco,5G support,"20,000 - 40,000",No,No
250,36 - 50,Male,Rural,10th - 12th,Self-Employed,"10,000 - 25,000",Vivo,vivo,"Below 10,000",1 - 3 years,Local Retail Store,"Camera quality, Processor performance, Price & affordability",Communication,Every 3+ years,Offline (Retail Store),Yes,Yes,Oppo,5G support,"10,000 - 20,000",Maybe,No
251,36 - 50,Male,Rural,Below 10th,Self-Employed,"25,000 - 50,000",Xiaomi,redmi 6,"Below 10,000",More than 3 years,Local Retail Store,"Camera quality, Display quality, Storage & RAM",Communication,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Vivo,"Features (camera, battery, performance, etc)","10,000 - 20,000",Maybe,Yes
252,Below 18,Male,Rural,10th - 12th,Student,"10,000 - 25,000",Vivo,vivo y16,"Below 10,000",Less than 6 months,Local Retail Store,"Camera quality, Battery life, Storage & RAM",Social media,Only when my phone stops working,Offline (Retail Store),No,No,OnePlus,,,,
253,18 - 25,Male,Rural,Graduation,Student,"Below 10,000",Apple,iphone 11,"40,000 - 70,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation, 5G support, Software & UI Experience, After-Sales Service",Social media,Every 2 years,Brand Showroom,Yes,Yes,Apple,"Features (camera, battery, performance, etc)","10,000 - 20,000",No,Yes
254,Below 18,Male,Rural,10th - 12th,Student,"Below 10,000",Vivo,y202,"Below 10,000",More than 3 years,Second hand,Storage & RAM,Other,Every 2 years,Offline (Retail Store),No,No,Unknown,Budget/ Price,"Below 10,000",Yes,Yes
255,18 - 25,Female,Rural,Graduation,Student,"50,000 - 1,00,000",Vivo,vivo y16,"10,000 - 20,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Battery life",Social media,Every 3+ years,Offline (Retail Store),Yes,Yes,Apple,Performance & Speed,"40,000 - 70,000",Yes,Yes
256,Below 18,Male,Rural,Below 10th,Employed,"Below 10,000",Samsung,samsung,"Below 10,000",Less than 6 months,Local Retail Store,Storage & RAM,Social media,Every year,Offline (Retail Store),No,No,Unknown,Software updates & longevity,"10,000 - 20,000",,
257,Below 18,Male,Rural,Below 10th,Student,"10,000 - 25,000",Vivo,vivo y16,"Below 10,000",Less than 6 months,Second hand,Battery life,Social media,Only when my phone stops working,Offline (Retail Store),No,No,OnePlus,Budget/ Price,"10,000 - 20,000",No,Yes
258,18 - 25,Female,Rural,Graduation,Student,"10,000 - 25,000",OnePlus,realme c35,"Below 10,000",1 - 3 years,Brand Outlet/Showroom,Price & affordability,Other,Only when my phone stops working,Brand Showroom,Yes,No,OnePlus,5G support,"10,000 - 20,000",Maybe,Yes
259,18 - 25,Female,Urban,Graduation,Student,"25,000 - 50,000",Vivo,vivo y20,"Below 10,000",More than 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Price & affordability",Communication,Only when my phone stops working,Brand Showroom,No,Yes,Vivo,5G support,"10,000 - 20,000",Yes,No
260,18 - 25,Female,Rural,Graduation,Student,"10,000 - 25,000",Motorola,motorola edge neo,"20,000 - 40,000",6 months - 1 year,Online,"Camera quality, Battery life, Processor performance, Display quality",Communication,Every year,Online,Yes,Yes,Realme,Budget/ Price,"Below 10,000",Yes,Yes
261,18 - 25,Female,Rural,Graduation,Student,"Below 10,000",Realme,realme 8i,"10,000 - 20,000",6 months - 1 year,Local Retail Store,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability",Communication,Every 2 years,Offline (Retail Store),Yes,Yes,Realme,Brand reputation,"20,000 - 40,000",Yes,No
262,Below 18,Male,Urban,10th - 12th,Student,"25,000 - 50,000",Xiaomi,redmi9,"Below 10,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Display quality, Software & UI Experience",Camera,Only when my phone stops working,Brand Showroom,Yes,Yes,Samsung,Budget/ Price,"20,000 - 40,000",Maybe,Yes
263,18 - 25,Male,Rural,Graduation,Student,"Below 10,000",Realme,realme c25,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Battery life, Processor performance, Storage & RAM",Other,Only when my phone stops working,Whichever gives the best deal,Yes,Yes,Samsung,Brand reputation,"20,000 - 40,000",Maybe,Yes
264,36 - 50,Female,Rural,Below 10th,Employed,"Below 10,000",Samsung,samsung galaxy,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Storage & RAM",Communication,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Vivo,Brand reputation,"10,000 - 20,000",No,No
265,18 - 25,Female,Rural,Graduation,Student,"10,000 - 25,000",OnePlus,oneplus nord ce 2 lite 5g,"20,000 - 40,000",More than 3 years,Local Retail Store,"Display quality, Storage & RAM, 5G support",Social media,Only when my phone stops working,Offline (Retail Store),Yes,No,Apple,"Features (camera, battery, performance, etc)","20,000 - 40,000",No,No
266,50+,Male,Urban,Graduation,Self-Employed,"25,000 - 50,000",Vivo,y200,"20,000 - 40,000",1 - 3 years,Local Retail Store,"Camera quality, Processor performance, 5G support",Office works,Every 3+ years,Offline (Retail Store),No,Yes,Samsung,"Features (camera, battery, performance, etc)","20,000 - 40,000",No,Yes
267,18 - 25,Female,Urban,Graduation,Self-Employed,"10,000 - 25,000",OnePlus,oneplus nord ce 5g,"10,000 - 20,000",1 - 3 years,Local Retail Store,Camera quality,Social media,Only when my phone stops working,Brand Showroom,No,Yes,OnePlus,5G support,"20,000 - 40,000",Yes,Yes
268,Below 18,Male,Rural,10th - 12th,Student,"10,000 - 25,000",Xiaomi,2201117ti,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Battery life, Price & affordability, Brand reputation",Communication,Only when my phone stops working,Whichever gives the best deal,Yes,Yes,Samsung,5G support,"20,000 - 40,000",Yes,Yes
